,Unnamed: 0,algorithm,subset,dataset,Training Accuracy,Testing Accuracy,executions,ansatz
0,0,random,12,microgrid,0.5375,0.65,123602,tutorial_ansatz
0,0,approx,8,microgrid,0.55625,0.425,111202,tutorial_ansatz
0,0,approx,4,microgrid,0.425,0.375,97202,tutorial_ansatz
0,0,approx,12,microgrid,0.5,0.55,221202,strong_entangled
0,0,approx,4,microgrid,0.4375,0.35,97202,basic_entangled
0,0,approx,8,microgrid,0.48125,0.425,111202,basic_entangled
0,0,approx,12,microgrid,0.525,0.375,149202,strong_entangled
0,0,random,12,microgrid,0.5875,0.525,123602,basic_entangled
0,0,random,4,microgrid,0.5125,0.425,63602,tutorial_ansatz
0,0,random,4,microgrid,0.43125,0.425,63602,basic_entangled
0,0,approx,12,microgrid,0.40625,0.5,221202,tutorial_ansatz
0,0,approx,12,microgrid,0.46875,0.35,221202,basic_entangled
0,0,random,8,microgrid,0.525,0.5,85602,basic_entangled
0,0,approx,8,microgrid,0.4125,0.425,143202,tutorial_ansatz
0,0,approx,8,microgrid,0.49375,0.475,143202,basic_entangled
0,0,approx,4,microgrid,0.5375,0.35,89202,basic_entangled
0,0,approx,1,microgrid,0.51875,0.475,83702,strong_entangled
0,0,random,1,microgrid,0.4375,0.375,57602,basic_entangled
0,0,random,2,microgrid,0.45625,0.35,58602,strong_entangled
0,0,approx,2,microgrid,0.4375,0.55,84202,tutorial_ansatz
0,0,approx,1,microgrid,0.4375,0.375,83702,basic_entangled
0,0,approx,1,microgrid,0.51875,0.475,83202,strong_entangled
